Date,Year,Month,Specices,Run,Salvage1,Salvage2,OMR,TPR,HRO,Flow.Vernalis,FRE,TEMP PPT,TEMP VER
1993/1/31,1993,January,Salmon,Winter,1435.5,36,-8014.193548,,7560.096774,,,,
1993/2/28,1993,February,Salmon,Winter,837,288,-5939.714286,,5191.964286,,,,
1993/3/31,1993,March,Salmon,Winter,104,240,-3668.193548,,1943.612903,,,,
1993/4/30,1993,April,Salmon,Winter,35,48,-3201.533333,,2793.333333,,,,
1993/5/31,1993,May,Salmon,Winter,0,0,-835.5806452,,1672.129032,,,,
1993/6/30,1993,June,Salmon,Winter,0,0,-2923.533333,,1990.666667,,,,
1993/7/31,1993,July,Salmon,Winter,0,0,-7321.612903,,4092.612903,,,,
1993/8/31,1993,August,Salmon,Winter,0,0,-8738.709677,,6172.064516,,,,
1993/9/30,1993,September,Salmon,Winter,0,0,-8287.333333,,6372.7,,,,
1993/10/31,1993,October,Salmon,Winter,0,0,-7877.741935,,6486.741935,,,,
1993/11/30,1993,November,Salmon,Winter,0,0,-3416.666667,,2583.5,,,,
1993/12/31,1993,December,Salmon,Winter,372,144,-4882.903226,4033,6268.096774,,,,
1994/1/31,1994,January,Salmon,Winter,95,120,-2336.451613,2277.064516,3457.16129,,,,
1994/2/28,1994,February,Salmon,Winter,209,2732,-2307.857143,3869.607143,1924.64,,,,
1994/3/31,1994,March,Salmon,Winter,269,1356,-1543.580645,2267.870968,1871.419355,,,,
1994/4/30,1994,April,Salmon,Winter,12,422.7,-979.8666667,1558.5,316.8,,,,
1994/5/31,1994,May,Salmon,Winter,6,0,-1012.870968,1123.16129,703.1612903,,,,
1994/6/30,1994,June,Salmon,Winter,0,0,-1095.633333,1327.966667,319.3666667,,,,
1994/7/31,1994,July,Salmon,Winter,0,0,-2730.451613,2511.83871,1605.354839,,,,
1994/8/31,1994,August,Salmon,Winter,0,0,-5324.516129,2439.83871,3493.225806,,,,
1994/9/30,1994,September,Salmon,Winter,0,0,-3923.266667,3540.6,3692.766667,,,,
1994/10/31,1994,October,Salmon,Winter,0,0,-2512.645161,2479.741935,2769.548387,,,,
1994/11/30,1994,November,Salmon,Winter,0,0,-5004,2757.433333,3885.6,,,,
1994/12/31,1994,December,Salmon,Winter,166,72,-4507.935484,3444.851852,3848.64,,,,
1995/1/31,1995,January,Salmon,Winter,2678,1404,-7492.903226,,7374.551724,,,,
1995/2/28,1995,February,Salmon,Winter,148,120,-4271.607143,,5165.428571,,,,
1995/3/31,1995,March,Salmon,Winter,10,24,5115.903226,,452.6551724,,,,
1995/4/30,1995,April,Salmon,Winter,0,384,6954.333333,,141.962963,,,,
1995/5/31,1995,May,Salmon,Winter,4,12,7361.290323,,1253.193548,23041.72727,,,
1995/6/30,1995,June,Salmon,Winter,0,0,-241.0633333,,3345.448276,14314.7931,,,
1995/7/31,1995,July,Salmon,Winter,0,0,-3312.806452,,5908.37931,11612.54167,,,
1995/8/31,1995,August,Salmon,Winter,0,0,-3960.322581,,4727.703704,4577.2,,,
1995/9/30,1995,September,Salmon,Winter,0,0,-3736.466667,,2923,4807.15,,,
1995/10/31,1995,October,Salmon,Winter,0,0,-3834.806452,,2954.967742,5674.133333,,,
1995/11/30,1995,November,Salmon,Winter,0,0,-2734.333333,,1328.466667,2713.565217,,,
1995/12/31,1995,December,Salmon,Winter,0,36,-2395.83871,,42.83870968,2526.862069,,,
1996/1/31,1996,January,Salmon,Winter,2585,696,-7256.129032,4268.37931,5736.344828,2683.16129,,,
1996/2/29,1996,February,Salmon,Winter,206,180,142.137931,3587.37931,2978.724138,10705.7931,,,
1996/3/31,1996,March,Salmon,Winter,73,0,3977.714286,738.9032258,2656.806452,14468.3871,14243.5625,,
1996/4/30,1996,April,Salmon,Winter,4,36,74,2401,1777.3,7218.9,,,
1996/5/31,1996,May,Salmon,Winter,0,12,-344,2073.774194,2568.83871,8349.612903,4443.8,,
1996/6/30,1996,June,Salmon,Winter,0,0,-7155.666667,4415.533333,5014.133333,3951.8,,,
1996/7/31,1996,July,Salmon,Winter,0,0,-8369.677419,4448.612903,5996.580645,2475.774194,,,
1996/8/31,1996,August,Salmon,Winter,0,0,-3696.129032,4377.741935,6175.709677,2340.862069,,,
1996/9/30,1996,September,Salmon,Winter,0,0,-7399.333333,4289.933333,5802.666667,2415.033333,,,
1996/10/31,1996,October,Salmon,Winter,0,0,-7569.354839,4163.290323,5472.645161,2750.032258,,,
1996/11/30,1996,November,Salmon,Winter,0,0,-7870,4250.482759,5830.866667,2792.333333,,,
1996/12/31,1996,December,Salmon,Winter,24,12,-1411.064516,4228.066667,3619.580645,11140.22581,4040.290323,,
1997/1/31,1997,January,Salmon,Winter,1,0,21080.32258,3073.333333,1693.111111,32469.03226,101132.2903,,
1997/2/28,1997,February,Salmon,Winter,0,0,20630.71429,555.6071429,1574.535714,32138.92857,36378.15385,,
1997/3/31,1997,March,Salmon,Winter,49,288,1107.935484,4320.666667,2702.8,13262.74194,,,
1997/4/30,1997,April,Salmon,Winter,23.6,0,-3661.733333,2752.103448,1834.448276,4698.266667,,,
1997/5/31,1997,May,Salmon,Winter,0,0,-2312.612903,1744.419355,1330.419355,4625.774194,,,
1997/6/30,1997,June,Salmon,Winter,0,0,-5584,4457.266667,2575.466667,2859.633333,,,
1997/7/31,1997,July,Salmon,Winter,0,0,-5388.064516,4413.833333,5265.966667,1866.2,,,
1997/8/31,1997,August,Salmon,Winter,0,0,-5400.344828,4430.290323,4359.225806,1705.612903,,,
1997/9/30,1997,September,Salmon,Winter,0,0,-5909.666667,4318.586207,5690.758621,1955.2,,,
1997/10/31,1997,October,Salmon,Winter,0,0,-5164.516129,4223.206897,4466.586207,2556.322581,,,
1997/11/30,1997,November,Salmon,Winter,0,0,-5784.666667,4184.37037,5022.222222,2133.7,,,
1997/12/31,1997,December,Salmon,Winter,340,180,-8471.612903,3899.774194,6721.516129,2014.774194,,,
1998/1/31,1998,January,Salmon,Winter,196,204,-3268.870968,3881,3194.483871,5622.354839,47796.0625,,
1998/2/28,1998,February,Salmon,Winter,0,108,13019.71429,2948.178571,131.1785714,28044.85714,113780.8214,,
1998/3/31,1998,March,Salmon,Winter,4,192,8189.354839,2072.766667,240.8,19378.48387,38892.05556,,
1998/4/30,1998,April,Salmon,Winter,0,12,9883.666667,1375.481481,17.62068966,21840.8,14867.54545,,
1998/5/31,1998,May,Salmon,Winter,0,0,5840.967742,1962.333333,423.5714286,17833.74194,5061,,
1998/6/30,1998,June,Salmon,Winter,0,0,3906.4,2866.344828,2158.172414,18023.5,11916.875,,
1998/7/31,1998,July,Salmon,Winter,0,0,-897.4193548,4056.774194,3470.354839,14312.72414,,,
1998/8/31,1998,August,Salmon,Winter,0,0,-5917.741935,4372.225806,4395.258065,5525.533333,,,
1998/9/30,1998,September,Salmon,Winter,0,0,-5534.666667,4342.703704,4335.291667,5334.766667,,,
1998/10/31,1998,October,Salmon,Winter,0,0,-5418.387097,4550.451613,5465.612903,5715.258065,,,
1998/11/30,1998,November,Salmon,Winter,0,0,-2411.836667,2506.48,2358.233333,3586.551724,,,
1998/12/31,1998,December,Salmon,Winter,4,0,40.62580645,23.61290323,2144.387097,4117.774194,831.25,,
1999/1/31,1999,January,Salmon,Winter,8,48,-1700,2911.5,1352.566667,4377.129032,,,
1999/2/28,1999,February,Salmon,Winter,1,84,1110.309643,4268.62963,928.4285714,10976.10714,31318.36842,,52.03064516
1999/3/31,1999,March,Salmon,Winter,464,644,-1865.677419,4069.709677,3139.846154,8300.83871,18881.92857,,53.70952381
1999/4/30,1999,April,Salmon,Winter,324,111,-1332.723333,1741.851852,2936.933333,6188.433333,,,57.47517434
1999/5/31,1999,May,Salmon,Winter,0,0,-1062.387097,1647.357143,1545.785714,5676.258065,,,62.33293011
1999/6/30,1999,June,Salmon,Winter,0,0,-3542.7,3305.833333,956.4666667,3134.066667,,,68.29611111
1999/7/31,1999,July,Salmon,Winter,0,0,-7621.935484,4393.230769,6019.129032,2192.516129,,,73.9477027
1999/8/31,1999,August,Salmon,Winter,0,0,-9896.129032,4351.451613,6505.903226,1934.677419,,,73.61648649
1999/9/30,1999,September,Salmon,Winter,0,0,-9534.666667,4235.633333,6828.6,1987,,,71.31061453
1999/10/31,1999,October,Salmon,Winter,0,0,-6476.451613,4249.032258,4935.677419,2413.580645,,,64.20054127
1999/11/30,1999,November,Salmon,Winter,0,0,-6608,4211.633333,5222.966667,2208.517241,,,56.9627972
1999/12/31,1999,December,Salmon,Winter,0,48,-4484.677419,2543.935484,3803.612903,1736.258065,,,49.08010899
2000/1/31,2000,January,Salmon,Winter,531,444,-7390.645161,3204.774194,6439.064516,2092.806452,,,51.44341927
2000/2/29,2000,February,Salmon,Winter,832,312,-6536.62069,4107.655172,7330.896552,7349.034483,56592.47059,,54.23599398
2000/3/31,2000,March,Salmon,Winter,314,276,-2140.225806,3380.870968,5578.483871,12360.64516,56885.64706,,55.22005731
2000/4/30,2000,April,Salmon,Winter,34,132,-4253.6,2206.733333,3032.9,5447.966667,,,61.69830508
2000/5/31,2000,May,Salmon,Winter,0,0,-2210.177419,1234.967742,1588.806452,4881.741935,,,64.77605442
2000/6/30,2000,June,Salmon,Winter,0,0,-6622,3044.566667,4234.166667,2910.833333,,,72.95827538
2000/7/31,2000,July,Salmon,Winter,0,0,-9283.870968,4318.516129,5827.032258,1959.193548,,,75.60108108
2000/8/31,2000,August,Salmon,Winter,0,0,-9410.322581,4388.4,6132.3,2108.483871,,,74.55833333
2000/9/30,2000,September,Salmon,Winter,0,0,-9156,4254.866667,6517.5,2322.7,,,58.7932299
2000/10/31,2000,October,Salmon,Winter,0,0,-7663.870968,4208.032258,4987.387097,2807,,,63.00845839
2000/11/30,2000,November,Salmon,Winter,0,0,-8135,4060.966667,5414.266667,2412.733333,,,53.3150838
2000/12/31,2000,December,Salmon,Winter,80,48,-6412.580645,3910.419355,4752.580645,2212.225806,,,50.49521127
2001/1/31,2001,January,Salmon,Winter,245,264,-3604.096774,2737.096774,3925.258065,2457.903226,,,48.28319892
2001/2/28,2001,February,Salmon,Winter,1205,1056,-6080.714286,3519.428571,4696.857143,3191.857143,,,51.48922156
2001/3/31,2001,March,Salmon,Winter,3392,469,-4948.16129,1883.193548,5867.064516,3559.290323,,,60.58075881
2001/4/30,2001,April,Salmon,Winter,42,96,-2697.233333,2177.366667,1655.233333,3078.666667,,,61.81120448
2001/5/31,2001,May,Salmon,Winter,0,0,-715.7419355,856.7096774,550,3589.103448,,,68.78048452
2001/6/30,2001,June,Salmon,Winter,0,0,-3217,2753.566667,151.1,1623.166667,,,74.18477654
2001/7/31,2001,July,Salmon,Winter,0,0,-7101.290323,4135.451613,3523.548387,1401.419355,,,76.66904441
2001/8/31,2001,August,Salmon,Winter,0,0,-8411.290323,4130.322581,4042.096774,1339.83871,,,76.12483131
2001/9/30,2001,September,Salmon,Winter,0,0,-7682.333333,4080.833333,3574.466667,1379.5,,,72.16648122
2001/10/31,2001,October,Salmon,Winter,0,0,-4580.645161,3532.451613,980.7096774,1891.419355,,,65.1120108
2001/11/30,2001,November,Salmon,Winter,0,0,-6505.633333,3749.233333,3229.566667,2063.466667,,,57.8448324
2001/12/31,2001,December,Salmon,Winter,372,132,-7872.935484,3670.806452,6123.935484,2100.83871,,,50.62643052
2002/1/31,2002,January,Salmon,Winter,1023,600,-8021.290323,4143.193548,6456.774194,2697.032258,14884.42857,,50.09402174
2002/2/28,2002,February,Salmon,Winter,259,120,-7401.071429,3471.678571,4942.321429,1894.714286,,,54.10747384
2002/3/31,2002,March,Salmon,Winter,359,698,-6492.258065,4174.83871,3892.709677,2131.419355,,,58.24175676
2002/4/30,2002,April,Salmon,Winter,41,97,-4028.233333,2140.966667,2104.066667,2603.833333,,,63.15602241
2002/5/31,2002,May,Salmon,Winter,0,0,-2030.645161,855.1290323,625.2258065,2798.354839,,,66.14783784
2002/6/30,2002,June,Salmon,Winter,0,0,-5039.633333,2418.933333,2146.466667,1428.2,,,74.25408451
2002/7/31,2002,July,Salmon,Winter,0,0,-10819.35484,4347.580645,6222.419355,1273.645161,,,77.27530529
2002/8/31,2002,August,Salmon,Winter,0,0,-11074.23077,4329.258065,6732.709677,1149.806452,,,75.48459459
2002/9/30,2002,September,Salmon,Winter,0,0,-8607,4277.833333,4131.333333,1161.233333,,,72.2320781
