"","Year","Month","Run","Salvage.Total","Total.Exports","OMR","Total.exports.z","OMR.z","Discharge.z"
"1",1993,"April","LateFall",0,2793.333333,-3201.533333,-0.683643950611787,-0.768318819851532,0.72234482489346
"2",1993,"April","Fall",3445,2793.333333,-3201.533333,-0.683643950611787,-0.768318819851532,0.72234482489346
"3",1993,"April","Spring",3308,2793.333333,-3201.533333,-0.683643950611787,-0.768318819851532,0.72234482489346
"4",1993,"April","Winter",83,2793.333333,-3201.533333,-0.683643950611787,-0.768318819851532,0.72234482489346
"25",1993,"June","Spring",28,1990.666667,-2923.533333,-0.956405569312513,-0.710177077022391,-0.0180931263452579
"26",1993,"June","LateFall",0,1990.666667,-2923.533333,-0.956405569312513,-0.710177077022391,-0.0180931263452579
"27",1993,"June","Fall",1672,1990.666667,-2923.533333,-0.956405569312513,-0.710177077022391,-0.0180931263452579
"28",1993,"June","Winter",0,1990.666667,-2923.533333,-0.956405569312513,-0.710177077022391,-0.0180931263452579
"33",1993,"May","Winter",0,1672.129032,-835.5806452,-1.06465080313128,-0.273496471937924,-0.379181801054354
"34",1993,"May","LateFall",0,1672.129032,-835.5806452,-1.06465080313128,-0.273496471937924,-0.379181801054354
"35",1993,"May","Fall",9915,1672.129032,-835.5806452,-1.06465080313128,-0.273496471937924,-0.379181801054354
"36",1993,"May","Spring",4337,1672.129032,-835.5806452,-1.06465080313128,-0.273496471937924,-0.379181801054354
"37",1993,"November","LateFall",12,2583.5,-3416.666667,-0.754949365413264,-0.813312442079604,-0.845121673313564
"38",1993,"November","Spring",0,2583.5,-3416.666667,-0.754949365413264,-0.813312442079604,-0.845121673313564
"39",1993,"November","Fall",461,2583.5,-3416.666667,-0.754949365413264,-0.813312442079604,-0.845121673313564
"40",1993,"November","Winter",0,2583.5,-3416.666667,-0.754949365413264,-0.813312442079604,-0.845121673313564
"49",1994,"April","Winter",435,1875.3,-979.8666667,-0.995609388491703,-0.303672877534661,-1.01535760641459
"50",1994,"April","LateFall",0,1875.3,-979.8666667,-0.995609388491703,-0.303672877534661,-1.01535760641459
"51",1994,"April","Fall",717,1875.3,-979.8666667,-0.995609388491703,-0.303672877534661,-1.01535760641459
"52",1994,"April","Spring",3398,1875.3,-979.8666667,-0.995609388491703,-0.303672877534661,-1.01535760641459
"61",1994,"February","Spring",0,5794.247143,-2307.857143,0.336124457706492,-0.581412736356903,-0.405689126277697
"62",1994,"February","LateFall",52,5794.247143,-2307.857143,0.336124457706492,-0.581412736356903,-0.405689126277697
"63",1994,"February","Winter",2941,5794.247143,-2307.857143,0.336124457706492,-0.581412736356903,-0.405689126277697
"64",1994,"February","Fall",12,5794.247143,-2307.857143,0.336124457706492,-0.581412736356903,-0.405689126277697
"65",1994,"January","Fall",14,5734.225806,-2336.451613,0.315728049421236,-0.587393068447103,-0.746750044151379
"66",1994,"January","Winter",215,5734.225806,-2336.451613,0.315728049421236,-0.587393068447103,-0.746750044151379
"67",1994,"January","LateFall",220,5734.225806,-2336.451613,0.315728049421236,-0.587393068447103,-0.746750044151379
"68",1994,"January","Spring",0,5734.225806,-2336.451613,0.315728049421236,-0.587393068447103,-0.746750044151379
